0223170C EnemyZombieCreate
0227E8E4 EnemyBarbaricciaUpdate
022865AC EnemyMalachiCreate
0228671C EnemyMalachiUpdate
02284110 EnemyCaveTrollCreate
02284204 EnemyCaveTrollUpdate
0225793C EnemyLarvaCreate
02257BDC EnemyLarvaUpdate
022584B8 EnemyHeartEaterCreate
0225864C EnemyHeartEaterUpdate
0223FC2C EnemyMermanCreate
0223FC9C EnemyMermanUpdate
02232694 EnemyFishHeadCreate
022326D8 EnemyFishHeadUpdate
0225F424 EnemyMedusaHeadCreate
0225F7D4 EnemyMedusaHeadUpdate
022794F0 EnemyUkobackCreate
02279178 EnemyUkobackUpdate
0226A650 EnemyKillerFishCreate
0226A758 EnemyKillerFishUpdate
02256024 EnemyMimicCreate
02256108 EnemyMimicUpdate
0226CFF4 EnemyDeadPirateCreate
0226D120 EnemyDeadPirateUpdate
0224A8F4 EnemyFrozenShadeCreate
0224AA0C EnemyFrozenShadeUpdate
02291A08 EnemyHomunculusCreate
02291B14 EnemyHomunculusUpdate
0223C1C0 EnemyDiscArmorCreate
0223C320 EnemyDiscArmorUpdate
0224F774 EnemyDecarabiaCreate
0224F8BC EnemyDecarabiaUpdate
022566B8 EnemyDeadMateCreate
022567F4 EnemyDeadMateUpdate
02264BCC EnemyBugbearCreate
02264BD8 EnemyBugbearUpdate
02250E88 EnemyProcelCreate
022512C0 EnemyProcelUpdate
02233664 EnemyBoneArkCreate
022337D4 EnemyBoneArkUpdate
022FEA00 EnemyGorgonCreate ; Overlay 32
022FEA0C EnemyGorgonUpdate ; Overlay 32
02245B38 EnemyAluraUneCreate
02245CBC EnemyAluraUneUpdate
0223B4B0 EnemyGreatAxeArmorCreate
0223B608 EnemyGreatAxeArmorUpdate
02268770 EnemyMothmanCreate
022688F0 EnemyMothmanUpdate
022FEA00 EnemyMushussuCreate ; Overlay 27
022FED1C EnemyMushussuUpdate ; Overlay 27
0226C26C EnemyDeadCrusaderCreate
0226C398 EnemyDeadCrusaderUpdate
0227B760 EnemyDeadWarriorCreate
0227B294 EnemyDeadWarriorUpdate
0226F784 EnemyErinysCreate
0226F790 EnemyErinysUpdate
02262978 EnemySuccubusCreate
02262B00 EnemySuccubusUpdate
0223ECD4 EnemyRipperCreate
0223EEAC EnemyRipperUpdate
02283C8C EnemyBlackPantherCreate
02283D70 EnemyBlackPantherUpdate
02250484 EnemyMudDemonCreate
0225050C EnemyMudDemonUpdate
02297258 EnemyGiantSlugCreate
022972B8 EnemyGiantSlugUpdate
022664D0 EnemyWerewolfCreate
02266604 EnemyWerewolfUpdate
022FEA18 EnemyFlameDemonCreate ; Overlay 31
022FEA24 EnemyFlameDemonUpdate ; Overlay 31
0228BE48 EnemyTanjellyCreate
0228BE7C EnemyTanjellyUpdate
022FEA00 EnemyArcDemonCreate ; Overlay 31
022FEA0C EnemyArcDemonUpdate ; Overlay 31
0224D768 EnemyGaibonCreate
0224D868 EnemyGaibonUpdate
0224C578 EnemySlograCreate
0224C674 EnemySlograUpdate
02272178 EnemyStolasCreate
02272430 EnemyStolasUpdate
022FEA00 EnemyFinalGuardCreate ; Overlay 24
022FEA4C EnemyFinalGuardUpdate ; Overlay 24
0227EA38 EnemyMalacodaCreate
0227E8CC EnemyMalacodaUpdate
0228FA18 EnemyAlastorCreate
0228FB1C EnemyAlastorUpdate
022FEA00 EnemyIronGolemCreate ; Overlay 28
022FECC8 EnemyIronGolemUpdate ; Overlay 28
022FEA00 EnemyFlyingArmorCreate ; Overlay 30
022FEE28 EnemyFlyingArmorUpdate ; Overlay 30
022FEBCC EnemyBaloreCreate ; Overlay 23
022FEE88 EnemyBaloreUpdate ; Overlay 23
022FEA00 EnemyMalphasCreate ; Overlay 29
022FEB80 EnemyMalphasUpdate ; Overlay 29
022FEA00 EnemyDmitriiCreate ; Overlay 40
022FEC60 EnemyDmitriiUpdate ; Overlay 40
022596F8 EnemyDarioCreate
022599C8 EnemyDarioUpdate
022FEA30 EnemyPuppetMasterCreate ; Overlay 25
022FECC8 EnemyPuppetMasterUpdate ; Overlay 25
022FEA00 EnemyRahabCreate ; Overlay 26
022FEC10 EnemyRahabUpdate ; Overlay 26
022FEA00 EnemyGergothCreate ; Overlay 36
022FEE08 EnemyGergothUpdate ; Overlay 36
022FEA00 EnemyZephyrCreate ; Overlay 33
022FECBC EnemyZephyrUpdate ; Overlay 33
022FEA00 EnemyBatCompanyCreate ; Overlay 37
022FEBD8 EnemyBatCompanyUpdate ; Overlay 37
02304A64 EnemyParanoiaCreate ; Overlay 35
023035A0 EnemyParanoiaUpdate ; Overlay 35
02242C9C EnemyAguniCreate
02242EB4 EnemyAguniUpdate
022FEA00 EnemyDeathCreate ; Overlay 34
022FEBDC EnemyDeathUpdate ; Overlay 34
022FEA00 EnemyAbaddonCreate ; Overlay 39
022FEBB8 EnemyAbaddonUpdate ; Overlay 39
022FEA00 EnemyMenaceCreate ; Overlay 38
022FEF20 EnemyMenaceUpdate ; Overlay 38
02236DA8 EnemySomaCreate
02236FCC EnemySomaUpdate
0223614C EnemyDraculaCreate
0223626C EnemyDraculaUpdate

021A1264 Object00Create
021A1304 Object00Update
021A4440 Object01Create
021A45D8 Object01Update
021BEBD0 Object02Create
021BECAC Object02Update
021BEB64 Object03Create
021BEB68 Object03Update
021BE76C Object04Create
021BE7DC Object04Update
021BE748 Object05Create
021BE74C Object05Update
0219E470 Object06Create
0219E500 Object06Update
021ACBB0 Object07Create
021AC6D8 Object07Update
021AC580 Object08Create
021AC388 Object08Update
021A5A4C Object09Create
021A5B5C Object09Update
021B1EE0 Object0ACreate
021B1F5C Object0AUpdate
021B1CF8 Object0BCreate
021B1D40 Object0BUpdate
021B36FC Object0CCreate
021B3870 Object0CUpdate
021B3348 Object0DCreate
021B3610 Object0DUpdate
021B88D0 Object0ECreate
021B8BB4 Object0EUpdate
021A4E10 Object0FCreate
021A4F2C Object0FUpdate
021B3164 Object10Create
021B3244 Object10Update
021A17E8 Object11Create
021A1850 Object11Update
021AE3F8 Object12Create
021AE4B4 Object12Update
021A3DA8 Object13Create
021A3DC4 Object13Update
021B1600 Object14Create
021B17C8 Object14Update
021A6874 Object15Create
021A6B80 Object15Update
021A6328 Object16Create
021A66F0 Object16Update
021AF314 Object17Create
021AF478 Object17Update
0219EF58 Object18Create
0219F14C Object18Update
021B4858 Object19Create
021B492C Object19Update
021B47B0 Object1ACreate
021B483C Object1AUpdate
021ADFDC Object1BCreate
021AE108 Object1BUpdate
021BADF0 Object1CCreate
021BAECC Object1CUpdate
021A720C Object1DCreate
021A7234 Object1DUpdate
021A3AAC Object1ECreate
021A3B78 Object1EUpdate
021B2434 Object1FCreate
021B2594 Object1FUpdate
021BC5DC Object20Create
021BC72C Object20Update
021A2224 Object21Create
021A2328 Object21Update
0219E5DC Object22Create
0219E60C Object22Update
021BBFA4 Object23Create
021BC008 Object23Update
021B826C Object24Create
021B8378 Object24Update
021A71D8 Object25Create
021A7200 Object25Update
021A71A4 Object26Create
021A71CC Object26Update
021A7170 Object27Create
021A7198 Object27Update
021BAAB8 Object28Create
021BAB74 Object28Update
021A713C Object29Create
021A7164 Object29Update
021A7108 Object2ACreate
021A7130 Object2AUpdate
021AD2F8 Object2BCreate
021AD36C Object2BUpdate
021A60E0 Object2CCreate
021A6154 Object2CUpdate
021BC170 Object2DCreate
021BC228 Object2DUpdate
022FEA20 Object2ECreate ; Overlay 25
022FEA2C Object2EUpdate ; Overlay 25
021A0830 Object2FCreate
021A08A8 Object2FUpdate
021B5BBC Object30Create
021B5C4C Object30Update
021BCDA8 Object31Create
021BD04C Object31Update
021AF0C0 Object32Create
021AF184 Object32Update
021B93B0 Object33Create
021B93DC Object33Update
021B955C Object34Create
021B95D8 Object34Update
021B9408 Object35Create
021B9484 Object35Update
021B15D0 Object36Create
021B15D4 Object36Update
021AB2D4 Object37Create
021AB360 Object37Update
021A1224 Object38Create
021A1258 Object38Update
021B2F7C Object39Create
021B306C Object39Update
021BB1AC Object3ACreate
021BB358 Object3AUpdate
0219E714 Object3BCreate
0219E850 Object3BUpdate
021BEE8C Object3CCreate
021BEFF4 Object3CUpdate
021A54E0 Object3DCreate
021A55AC Object3DUpdate
021A1308 Object3ECreate
021A13C4 Object3EUpdate
021AE8A0 Object3FCreate
021AE9D4 Object3FUpdate
021ADFDC Object40Create
021AE108 Object40Update
021A1D14 Object41Create
021A1E04 Object41Update
021A1A34 Object42Create
021A1A68 Object42Update
021A30D4 Object43Create
021A3174 Object43Update
021A2FEC Object44Create
021A30C8 Object44Update
021A70D4 Object45Create
021A70FC Object45Update
021A2ED0 Object46Create
021A2FE0 Object46Update
021B9F44 Object47Create
021BA2B8 Object47Update
021B95E8 Object48Create
021B9AB0 Object48Update
021AB764 Object49Create
021AB8D0 Object49Update
021A041C Object4ACreate
021A0480 Object4AUpdate
021AFCAC Object4BCreate
021AFD7C Object4BUpdate
021AFAF8 Object4CCreate
021AFAFC Object4CUpdate
021AF5D4 Object4DCreate
021AF650 Object4DUpdate
021AF544 Object4ECreate
021AF5C8 Object4EUpdate
021B1CF0 Object4FCreate
021B1CF4 Object4FUpdate
021AE898 Object50Create
021AE89C Object50Update
0219E460 Object51Create
0219E464 Object51Update
021AFBE0 Object52Create
021AFBE4 Object52Update
021B7DE0 Object53Create
021B7DE4 Object53Update
021A70C4 Object54Create
021A70C8 Object54Update
021A70CC Object55Create
021A70D0 Object55Update
021C5434 Object56Create
021C54B4 Object56Update
021A2E34 Object57Create
021A2EC4 Object57Update
021B26BC Object58Create
021B2788 Object58Update
021B013C Object59Create
021B03F8 Object59Update
021AFBE8 Object5ACreate
021AFC68 Object5AUpdate
0219E468 Object5BCreate
0219E46C Object5BUpdate
021D1674 Object5CCreate
021D1740 Object5CUpdate
021C7AA0 Object5DCreate
021C60C4 Object5DUpdate
021C857C Object5ECreate
021C8078 Object5EUpdate
021C9124 Object5FCreate
021C8624 Object5FUpdate
021C9A88 Object60Create
021C95D4 Object60Update
021C9538 Object61Create
021C91C0 Object61Update
021CA088 Object62Create
021C9AF0 Object62Update
021CA808 Object63Create
021CA134 Object63Update
021CB644 Object64Create
021CA88C Object64Update
021CBD54 Object65Create
021CB86C Object65Update
021CC028 Object66Create
021CBDB4 Object66Update
021CC64C Object67Create
021CC0C0 Object67Update
021CCA34 Object68Create
021CC6F8 Object68Update
021CD794 Object69Create
021CCAD0 Object69Update
021CEC8C Object6ACreate
021CD7E8 Object6AUpdate
021D0B18 Object6BCreate
021D035C Object6BUpdate
021D2C68 Object6CCreate
021D21D8 Object6CUpdate
021D2140 Object6DCreate
021D1FF8 Object6DUpdate
021D1F14 Object6ECreate
021D17F8 Object6EUpdate
021D4AAC Object6FCreate
021D475C Object6FUpdate
021D4628 Object70Create
021D435C Object70Update
021D41D8 Object71Create
021D3A08 Object71Update
021D3918 Object72Create
021D3710 Object72Update
021D525C Object73Create
021D504C Object73Update
021D4FD8 Object74Create
021D4DE4 Object74Update
021D4DA4 Object75Create
021D4C34 Object75Update

0220D72C SkillPuppetMasterUse
0220D2BC SkillZephyrUse
022074F4 SkillParanoiaUse
02206FD4 SkillImpUse
02207830 SkillSkeletonUse
022080B8 SkillZombieUse
0220C6BC SkillAxeArmorUse
0220E08C SkillStudentWitchUse
0220A354 SkillWargUse
0220BE7C SkillBomberArmorUse
0220E2DC SkillAmalaricSniperUse
0220CCCC SkillCaveTrollUse
0220BC38 SkillWaiterSkeletonUse
0220B708 SkillSlimeUse
022075B0 SkillYorickUse
022068CC SkillUneUse
0220AD24 SkillMandragoraUse
022048C4 SkillRycudaUse
0220AAC8 SkillFleamanUse
0220A850 SkillRipperUse
02203CAC SkillGuillotinerUse
0220613C SkillKillerClownUse
02209D7C SkillMalachiUse
0220B268 SkillDiscArmorUse
0220A4DC SkillGreatAxeArmorUse
02209220 SkillSlaughtererUse
02209220 SkillHellBoarUse
02208C84 SkillFrozenShadeUse
02208964 SkillMermanUse
022040F0 SkillLarvaUse
02207290 SkillUkobackUse
02206BD4 SkillDecarabiaUse
0220C924 SkillSuccubusUse
02206640 SkillSlograUse
02205E0C SkillErinysUse
02205AE4 SkillHomunculusUse
02205748 SkillWitchUse
02205538 SkillFishHeadUse
02204C08 SkillMolluscaUse
02204568 SkillDeadMateUse
02203924 SkillKillerFishUse
022079D4 SkillMalacodaUse
02209410 SkillFlameDemonUse
02208308 SkillAguniUse
022097E4 SkillAbaddonUse
02203638 SkillHellFireUse
0220342C Skill2EUse
0220325C Skill2FUse
02202BA8 Skill30Use
022026A0 Skill31Use
022022F0 Skill32Use
02201BFC Skill33Use
022014A4 Skill34Use
021E6364 SkillFlyingArmorUse
021E6918 SkillBatCompanyUse
021E6A24 SkillBlackPantherUse
021E48E8 SkillArmorKnightUse
021DB354 SkillSpinDevilUse
021DF04C SkillSkullArcherUse
021E24D4 SkillGhostUse
021E50FC SkillYetiUse
021DC280 SkillBuerUse
021DF9A4 SkillManticoreUse
021DF9A4 SkillMushussuUse
021DCE88 SkillWhiteDragonUse
021DCE88 SkillCatoblepasUse
021DCE88 SkillGorgonUse
021DB96C SkillPersephoneUse
021E4D30 SkillFlyingHumanoidUse
021E0230 SkillDevilUse
021DEE28 SkillMedusaHeadUse
021DC024 SkillFinalGuardUse
021DB91C SkillWerewolfUse
021E10C4 SkillAluraUneUse
021E5854 SkillIronGolemUse
021DE3C8 SkillBoneArkUse
021E06BC SkillBarbaricciaUse
021E06B0 SkillValkyrieUse
021DC888 SkillBatUse
021E4514 SkillGreatArmorUse
021E3DAC SkillMiniDevilUse
021E36A0 SkillHarpyUse
021E2DC8 SkillCorpseweedUse
021E1C98 SkillQuetzalcoatlUse
021DD3E8 SkillNeedlesUse
021DAD50 SkillAlastorUse
021DD80C SkillGaibonUse
021DDEFC SkillGergothUse
021DBBE8 SkillDeathUse
021D5E1C SkillGolemUse
021D5E1C SkillBonePillarUse
021D5E1C SkillLilithUse
021D5E1C SkillGhostDancerUse
021D5DB4 SkillTanjellyUse
021D5DB4 SkillBugbearUse
021D5DB4 SkillArcDemonUse
021D5DB4 SkillGiantSlugUse
021D5DB4 SkillKillerDollUse
021D5DB4 SkillTombstoneUse
021D5D44 SkillTreantUse
021D5D44 SkillGhoulUse
021D5D44 SkillSkelerangUse
021D5D44 SkillSkeletonApeUse
021D5D44 SkillDeadWarriorUse
021D5D44 SkillDeadPirateUse
021D5D44 SkillDraghignazzoUse
021D5D44 SkillHeartEaterUse
021D5D44 SkillPeepingEyeUse
021D5D44 SkillSkeletonFarmerUse
021D5D44 SkillTheCreatureUse
021D5D44 SkillMimicUse
021D5D44 SkillMothmanUse
021D5D44 SkillOuijaTableUse
021D5D44 SkillDeadCrusaderUse
021D5C94 SkillStolasUse
021D5C94 SkillWakwakTreeUse
